completionAttempts,conference,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,gameId,homeAway,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,points,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,team,teamId,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
16-21,Pioneer,,25.0,2-2,0.0,1.0,401767620,,0.0,0.0,1.0,0.0,10.0,1.0,11.0,278.0,,2.0,3.0,41,35:33,0.0,29.0,3.0,,48.0,2.0,201.0,,,,Drake,,10-16,0.0,5-45,479.0,1.0,13.2,4.2
18-30,Great Lakes,,12.0,0-1,1.0,0.0,401767620,,0.0,0.0,2.0,0.0,108.0,6.0,1.0,201.0,,1.0,1.0,7,24:27,0.0,5.0,2.0,,17.0,0.0,18.0,,,,Upper Iowa University,,4-11,2.0,5-45,219.0,3.0,6.7,1.1
19-29,MVFC,,24.0,1-2,0.0,3.0,401767547,,1.0,41.0,0.0,0.0,73.0,2.0,7.0,238.0,,2.0,3.0,49,26:48,0.0,27.0,1.0,,35.0,3.0,148.0,,,,Southern Illinois,,5-11,1.0,6-60,386.0,0.0,8.2,4.2
18-29,Great Midwest Athletic,,13.0,1-1,3.0,0.0,401767547,,,,2.0,0.0,86.0,4.0,3.0,131.0,,,0.0,3,33:12,0.0,0.0,1.0,,32.0,0.0,60.0,,,,Thomas More College,,2-13,4.0,4-20,191.0,5.0,4.5,1.9
26-27,Southland,,29.0,0-0,1.0,1.0,401767526,,,,0.0,0.0,0.0,1.0,12.0,438.0,,,5.0,66,30:37,0.0,-2.0,1.0,,35.0,4.0,236.0,,,,UT Rio Grande Valley,,7-9,1.0,8-71,674.0,1.0,16.2,6.7
10-14,Lone Star,,6.0,0-1,1.0,1.0,401767526,,,,0.0,0.0,128.0,7.0,,41.0,,,0.0,0,29:23,,,,,31.0,0.0,33.0,,,,Sul Ross State,,2-12,1.0,12-70,74.0,1.0,2.9,1.1
23-31,Pac-12,0.0,13.0,2-2,1.0,2.0,401752947,,,,0.0,0.0,36.0,2.0,7.0,208.0,2.0,,1.0,13,24:49,,,,2.0,22.0,0.0,3.0,0.0,39.0,4.0,Washington State,,3-12,2.0,7-48,211.0,1.0,6.7,0.1
12-20,Big Sky,0.0,16.0,1-1,2.0,1.0,401752947,,,,0.0,0.0,45.0,2.0,4.0,33.0,0.0,,0.0,10,35:11,0.0,0.0,1.0,4.0,45.0,1.0,188.0,1.0,29.0,7.0,Idaho,,7-16,2.0,6-57,221.0,2.0,1.7,4.2
20-31,ACC,0.0,20.0,1-2,0.0,1.0,401754522,,0.0,12.0,0.0,0.0,32.0,1.0,9.0,205.0,3.0,1.0,2.0,27,33:57,0.0,9.0,1.0,1.0,37.0,1.0,127.0,3.0,31.0,5.0,Miami,,5-14,0.0,6-51,332.0,0.0,6.6,3.4
19-30,FBS Independents,0.0,18.0,0-0,1.0,0.0,401754522,,,,1.0,0.0,15.0,1.0,6.0,221.0,3.0,,2.0,24,26:03,0.0,9.0,2.0,1.0,27.0,1.0,94.0,1.0,32.0,2.0,Notre Dame,,4-9,2.0,5-30,315.0,2.0,7.4,3.5
16-21,Pioneer,,17.0,1-2,0.0,,401767634,,,,0.0,0.0,203.0,6.0,8.0,219.0,,,1.0,38,28:48,,,,,30.0,3.0,195.0,,,,Morehead State,,3-8,,8-94,414.0,0.0,10.4,6.5
26-38,SIAC,,31.0,1-2,0.0,0.0,401767634,,,,0.0,0.0,60.0,4.0,7.0,309.0,,,2.0,31,31:12,0.0,-6.0,1.0,,36.0,2.0,107.0,,,,Allen,,4-11,1.0,1-0,416.0,0.0,8.1,3.0
10-17,Big South-OVC,0.0,13.0,0-0,0.0,,401756876,,,,1.0,,,,1.0,109.0,2.0,,1.0,7,28:39,0.0,0.0,1.0,2.0,38.0,0.0,116.0,2.0,45.0,9.0,UT Martin,,6-15,,7-50,225.0,1.0,6.4,3.1
18-30,Big 12,0.0,20.0,1-1,0.0,,401756876,,0.0,1.0,0.0,0.0,41.0,2.0,9.0,232.0,2.0,1.0,1.0,27,31:21,0.0,17.0,3.0,7.0,42.0,2.0,127.0,4.0,34.0,9.0,Oklahoma State,,10-18,,5-55,359.0,0.0,7.7,3.0
24-39,MVFC,0.0,23.0,1-2,1.0,1.0,401756855,,,,0.0,0.0,28.0,1.0,5.0,252.0,5.0,,1.0,35,31:14,0.0,20.0,2.0,3.0,33.0,4.0,102.0,1.0,46.0,3.0,North Dakota,,5-14,2.0,4-30,354.0,1.0,6.5,3.1
28-43,Big 12,0.0,22.0,2-3,1.0,1.0,401756855,,,,0.0,0.0,130.0,5.0,8.0,318.0,4.0,,3.0,38,28:46,0.0,23.0,3.0,6.0,27.0,2.0,146.0,3.0,43.0,10.0,Kansas State,,5-13,2.0,3-36,464.0,1.0,7.4,5.4
14-28,Big 12,0.0,19.0,3-3,2.0,2.0,401756846,,,,0.0,0.0,56.0,2.0,6.0,183.0,4.0,,2.0,24,33:52,,,,2.0,46.0,1.0,130.0,1.0,31.0,7.0,Iowa State,,3-14,2.0,1-5,313.0,2.0,6.5,2.8
21-30,Big 12,0.0,13.0,1-4,2.0,2.0,401756846,,,,0.0,0.0,66.0,3.0,3.0,273.0,6.0,,2.0,21,26:08,0.0,0.0,1.0,3.0,27.0,1.0,110.0,4.0,40.0,6.0,Kansas State,,5-13,2.0,6-48,383.0,2.0,9.1,4.1
11-17,SEC,1.0,25.0,1-1,0.0,0.0,401752667,,,,0.0,1.0,98.0,1.0,8.0,108.0,3.0,,0.0,38,33:18,,,,3.0,52.0,4.0,307.0,4.0,39.0,5.0,Auburn,,5-10,1.0,9-83,415.0,0.0,6.4,5.9
27-48,Big 12,0.0,23.0,3-6,0.0,,401752667,,,,0.0,0.0,53.0,2.0,6.0,419.0,3.0,,3.0,24,26:42,,,,1.0,24.0,0.0,64.0,1.0,41.0,1.0,Baylor,,5-15,,6-55,483.0,0.0,8.7,2.7
15-29,MVFC,0.0,11.0,0-1,0.0,0.0,401756853,,,,2.0,0.0,47.0,3.0,1.0,126.0,0.0,,1.0,7,24:42,,,,0.0,21.0,0.0,82.0,0.0,31.0,2.0,South Dakota,,5-12,1.0,5-36,208.0,2.0,4.3,3.9
23-25,Big 12,0.0,28.0,0-0,0.0,,401756853,,0.0,22.0,0.0,,,,13.0,306.0,3.0,2.0,3.0,55,35:18,0.0,117.0,2.0,4.0,42.0,4.0,223.0,0.0,17.0,4.0,Iowa State,,9-10,,3-30,529.0,0.0,12.2,5.3
17-33,SWAC,0.0,11.0,1-2,0.0,0.0,401756877,,,,1.0,0.0,18.0,1.0,1.0,122.0,0.0,,1.0,7,32:38,,,,1.0,26.0,0.0,53.0,0.0,44.0,2.0,Arkansas-Pine Bluff,,4-15,2.0,4-31,175.0,1.0,3.7,2.0
25-32,Big 12,0.0,33.0,1-1,0.0,0.0,401756877,,0.0,7.0,0.0,0.0,54.0,2.0,13.0,314.0,2.0,1.0,6.0,67,27:22,0.0,5.0,4.0,5.0,28.0,3.0,296.0,3.0,29.0,6.0,Texas Tech,,5-8,2.0,7-60,610.0,0.0,9.8,10.6
13-20,NEC,0.0,6.0,1-1,0.0,1.0,401756854,,0.0,0.0,0.0,,,,1.0,90.0,2.0,1.0,1.0,7,26:45,,,,0.0,28.0,0.0,53.0,0.0,60.0,0.0,Wagner,,2-14,0.0,10-70,143.0,0.0,4.5,1.9
23-34,Big 12,0.0,32.0,1-2,1.0,0.0,401756854,,,,1.0,0.0,34.0,1.0,8.0,346.0,2.0,,4.0,46,33:15,0.0,62.0,9.0,4.0,44.0,2.0,285.0,3.0,32.0,9.0,Kansas,,4-10,1.0,6-55,631.0,2.0,10.2,6.5
18-29,Mountain West,0.0,13.0,1-2,1.0,0.0,401756847,,,,2.0,,,,1.0,179.0,0.0,,0.0,7,26:52,0.0,1.0,2.0,2.0,29.0,1.0,37.0,1.0,38.0,5.0,Fresno State,,7-15,2.0,4-50,216.0,3.0,6.2,1.3
18-20,Big 12,0.0,22.0,2-3,0.0,1.0,401756847,,0.0,0.0,0.0,0.0,14.0,1.0,7.0,176.0,4.0,2.0,3.0,31,33:08,0.0,0.0,1.0,4.0,38.0,1.0,207.0,3.0,35.0,10.0,Kansas,,2-10,1.0,9-72,383.0,0.0,8.8,5.4
13-21,ACC,0.0,10.0,1-1,2.0,0.0,401754523,,0.0,0.0,1.0,0.0,126.0,6.0,2.0,172.0,2.0,1.0,1.0,14,27:51,,,,3.0,28.0,1.0,50.0,0.0,41.0,3.0,North Carolina,,1-10,4.0,3-25,222.0,3.0,8.2,1.8
27-37,Big 12,2.0,29.0,1-1,0.0,2.0,401754523,,1.0,25.0,1.0,,,,12.0,284.0,1.0,1.0,2.0,48,32:09,,,,1.0,35.0,2.0,258.0,2.0,32.0,8.0,TCU,,7-12,0.0,5-58,542.0,1.0,7.7,7.4
7-22,NEC,0.0,8.0,0-0,2.0,3.0,401756878,,,,0.0,0.0,50.0,3.0,3.0,70.0,0.0,,0.0,3,32:30,,,,1.0,37.0,0.0,53.0,1.0,49.0,3.0,Robert Morris,,3-15,2.0,4-24,123.0,2.0,3.2,1.4
18-23,Big 12,0.0,26.0,1-2,4.0,2.0,401756878,,,,0.0,0.0,48.0,2.0,9.0,232.0,2.0,,1.0,45,27:30,0.0,52.0,5.0,4.0,53.0,5.0,393.0,4.0,31.0,8.0,West Virginia,,5-11,5.0,9-69,625.0,4.0,10.1,7.4
15-30,SWAC,,19.0,0-0,0.0,2.0,401767179,,0.0,5.0,0.0,0.0,46.0,2.0,4.0,143.0,,1.0,0.0,28,26:27,0.0,31.0,3.0,,32.0,4.0,283.0,,,,Jackson State,,6-14,1.0,10-89,426.0,0.0,4.8,8.8
21-29,CAA,,20.0,1-3,2.0,0.0,401767179,,,,1.0,0.0,19.0,2.0,2.0,201.0,,,1.0,14,33:33,0.0,2.0,4.0,,41.0,1.0,175.0,,,,Hampton,,5-14,4.0,5-33,376.0,3.0,6.9,4.3
